asset_id,name,asset_type,latitude,longitude,elevation_m,surveyed_on,surveyor,status,condition_score,attribute_json
PL-0116,Defective Pole Test Fault 1,pole,95.500000 N,85.820000 E,45.0,2026-09-05,Ramesh Sharma,active,7,"{""height_m"": 10.0}"
PL-0117,Defective Pole Test Fault 2,pole,20.290000 N,bad_lon,45.0,2026-09-05,Ramesh Sharma,active,7,"{""height_m"": 10.0}"
PL-0101,Duplicate Code Row Fault 3,pole,20.290000 N,85.820000 E,45.0,2026-09-05,Ramesh Sharma,active,7,"{""height_m"": 10.0}"
,Missing Code Row Fault 4,pole,20.290000 N,85.820000 E,45.0,2026-09-05,Ramesh Sharma,active,7,"{""height_m"": 10.0}"
BADCODE123,Bad Code Format Fault 5,pole,20.290000 N,85.820000 E,45.0,2026-09-05,Ramesh Sharma,active,7,"{""height_m"": 10.0}"
PL-0118,Score Out of Range Fault 6,pole,20.290000 N,85.820000 E,45.0,2026-09-05,Ramesh Sharma,active,14,"{""height_m"": 10.0}"
PL-0119,Score Blank Fault 7,pole,20.290000 N,85.820000 E,45.0,2026-09-05,Ramesh Sharma,active,,"{""height_m"": 10.0}"
PL-0120,Future Date Fault 8,pole,20.290000 N,85.820000 E,45.0,2030-01-01,Ramesh Sharma,active,7,"{""height_m"": 10.0}"
PL-0121,Corrupt JSON Snippet Fault 9,pole,20.290000 N,85.820000 E,45.0,2026-09-05,Ramesh Sharma,active,7,"{bad_json: 123}"
PL-0122,Unrecognized Asset Type Fault 10,generator,20.290000 N,85.820000 E,45.0,2026-09-05,Ramesh Sharma,active,7,"{""capacity"": 50}"
PL-0123,Decommissioned High Score Fault 11,pole,20.290000 N,85.820000 E,45.0,2026-09-05,Ramesh Sharma,decommissioned,8,"{""height_m"": 10.0}"
PL-0124,Valid Final Distribution Pole,pole,20.288500 N,85.817000 E,39.0,2026-09-05,Ramesh Sharma,active,8,"{""height_m"": 10.0, ""material"": ""steel""}"
